Operacion,Cuota,Inversion,Resultado,Saldo Final
1,0.39,2.5,PERDIDA,47.5
2,0.29,2.38,GANADA,53.33
3,0.44,2.67,GANADA,56.73
4,0.45,2.84,GANADA,60.2
5,0.69,3.01,GANADA,61.55
6,0.32,3.08,PERDIDA,58.47
7,0.23,2.92,PERDIDA,55.55
8,0.36,2.78,PERDIDA,52.77
9,0.73,2.64,PERDIDA,50.13
10,0.4,2.51,PERDIDA,47.62
11,0.83,2.38,PERDIDA,45.24
12,0.32,2.26,PERDIDA,42.98
13,0.57,2.15,GANADA,44.6
14,0.84,2.23,GANADA,45.03
15,0.38,2.25,PERDIDA,42.78
16,0.35,2.14,PERDIDA,40.64
17,0.68,2.03,PERDIDA,38.61
18,0.32,1.93,PERDIDA,36.68
19,0.31,1.83,PERDIDA,34.85
20,0.44,1.74,GANADA,37.06
21,0.52,1.85,PERDIDA,35.21
22,0.84,1.76,GANADA,35.54
23,0.49,1.78,GANADA,37.4
24,0.22,1.87,PERDIDA,35.53
25,0.38,1.78,PERDIDA,33.75
26,0.75,1.69,GANADA,34.31
27,0.19,1.72,PERDIDA,32.59
28,0.41,1.63,PERDIDA,30.96
29,0.58,1.55,GANADA,32.08
30,0.54,1.6,PERDIDA,30.48
31,0.66,1.52,PERDIDA,28.96
32,0.36,1.45,PERDIDA,27.51
33,0.38,1.38,PERDIDA,26.13
34,0.34,1.31,GANADA,28.68
35,0.53,1.43,PERDIDA,27.25
36,0.52,1.36,GANADA,28.5
37,0.19,1.43,PERDIDA,27.07
38,0.79,1.35,GANADA,27.43
39,0.73,1.37,GANADA,27.94
40,0.75,1.4,PERDIDA,26.54
41,0.82,1.33,GANADA,26.83
42,0.63,1.34,PERDIDA,25.49
43,0.63,1.27,GANADA,26.24
44,0.43,1.31,GANADA,27.97
45,0.25,1.4,GANADA,32.17
46,0.27,1.61,PERDIDA,30.56
47,0.19,1.53,PERDIDA,29.03
48,0.56,1.45,PERDIDA,27.58
49,0.83,1.38,GANADA,27.86
50,0.15,1.39,PERDIDA,26.47
51,0.52,1.32,GANADA,27.69
52,0.72,1.38,GANADA,28.23
53,0.53,1.41,GANADA,29.48
54,0.51,1.47,GANADA,30.89
55,0.56,1.54,GANADA,32.1
56,0.48,1.61,GANADA,33.85
57,0.49,1.69,GANADA,35.61
58,0.73,1.78,GANADA,36.26
59,0.29,1.81,GANADA,40.7
60,0.65,2.03,GANADA,41.79
61,0.73,2.09,PERDIDA,39.7
62,0.62,1.98,GANADA,40.91
63,0.4,2.05,PERDIDA,38.86
64,0.54,1.94,GANADA,40.51
65,0.6,2.03,GANADA,41.87
66,0.7,2.09,GANADA,42.76
67,0.77,2.14,GANADA,43.4
68,0.18,2.17,PERDIDA,41.23
69,0.81,2.06,GANADA,41.72
70,0.32,2.09,PERDIDA,39.63
71,0.45,1.98,GANADA,42.05
72,0.21,2.1,PERDIDA,39.95
73,0.38,2.0,PERDIDA,37.95
74,0.63,1.9,GANADA,39.06
75,0.82,1.95,GANADA,39.49
76,0.78,1.97,GANADA,40.05
77,0.46,2.0,GANADA,42.39
78,0.49,2.12,PERDIDA,40.27
79,0.71,2.01,PERDIDA,38.26
80,0.63,1.91,GANADA,39.38
81,0.2,1.97,PERDIDA,37.41
82,0.2,1.87,PERDIDA,35.54
83,0.82,1.78,GANADA,35.94
